TestXMLReaderSingletons,testDTDValidatingReaderFails,testXSDValidatingReaderFails
TestXMLReaderXSDFactory,testXMLReaderXSDFactoryURLArrayJAXP,testXMLReaderXSDFactoryFileArrayJAXP
TestXMLReaderXSDFactory,testXMLReaderXSDFactoryURLArray,testXMLReaderXSDFactoryFileArray
TestDOMBuilder,testSimpleDocument,testXSDDocument,testComplexDocument,testDocTypeDocument,testNamespaceDocument,testAttributesDocument
TestDTDParser,testParseSYSTEMquotNONE,testParseSYSTEMaposNONE
TestDTDParser,testParseSimple,testParseCarriageReturn,testParseNewline,testParseTab,testParseSpace,testParseSimpleCompact
TestDTDParser,testParsePUBLICquotquotNONE,testParsePUBLICaposaposNONE,testParsePUBLICaposquotNONE,testParsePUBLICquotaposNONE
TestDTDParser,testParseSYSTEMquotSimple,testParseSYSTEMaposSimple
TestDTDParser,testParsePUBLICquotenullNONE,testParsePUBLICaposnullNONE
TestDTDParser,testParseSimpleCompactInternal,testParseInternalWithQuoteSpace,testParseInternalWithAPosSpace,testParseInternalCarriageReturn,testParseInternalNewline,testParseInternalTab,testParseInternalSpace,testParseInternalEmbeddedNewlines,testParseInternalA
TestDTDParser,testParsePUBLICaposaposSimple,testParsePUBLICaposaposSimpleCompact
TestJDOMParseExceptn,testJDOMParseExceptionStringThrowableDocument,testGetPartialDocument
TestSAXBuilder,testBuildStringNegativeActualXML,testBuildStringNegativePaddedXML
TestSAXHandler,testElementAttributesNoLocalName,testElementAttributesTypeIsEnumeration
TestSAXHandler,testElementAttributesNoPrefixNamespaceMustGenerateAlternatePrefix,testElementAttributesNoPrefixNamespaceMustUseActualParentPrefix
TestSAXHandler,testElementAttributesTypeIsUnknown,testElementAttributesTypeIsEmptyString
TestSAXHandler,testAndroidParserIssue2LocalOnly,testAndroidParserIssue2QNameOnly
TestStAXEventBuilder,testSimpleDocumentExpand,testXSDDocument,testComplexDocument,testDocTypeSimpleDocument,testDocTypeDocument,testNamespaceDocument,testAttributesDocument,testSimpleDocument,testXSDDocumentExpand,testComplexDocumentExpand,testDocTypeDocumentSimpleExpand,testNamespaceDocumentExpand,testAttributesDocumentExpand
TestStAXStreamBuilder,testSimpleDocumentExpand,testXSDDocument,testComplexDocument,testDocTypeSimpleDocument,testDocTypeDocument,testNamespaceDocument,testAttributesDocument,testSimpleDocument,testXSDDocumentExpand,testComplexDocumentExpand,testNamespaceDocumentExpand,testAttributesDocumentExpand
TestStAXStreamBuilder,testDocTypeDocumentExpand,testDocTypeDocumentSimpleExpand
TestJDOMNamespaceContext,testGetNamespaceURIWithDef,testGetNamespaceURIWithoutDef
AbstractTestOutputter,testMultiWhiteText,testMultiText
AbstractTestOutputter,testCDATAEmpty,testCDATAWithText,testCDATAWhitespace
AbstractTestRoundTrip,testSimple,testComplex,testNamespaces
TestDOMOutputter,testOutputElementExpandEmpty,testOutputDocumentOmitDeclaration,testOutputDocumentOmitEncoding,testOutputElementMultiAllWhiteExpandEmpty
TestDOMOutputter,testDOMOutputElementNamespaces,testOutputElementNamespaceNoPrefix
TestFormat,test7BitEscapes,testASCIIBitEscapes
TestFormat,test16BitEscapes,testIllegalEncodingEscapes
TestSAXOutputter,testOutputElementExpandEmpty,testOutputDocumentOmitDeclaration,testOutputDocumentOmitEncoding,testOutputDocTypePublicSystem,testOutputDocTypePublic,testOutputDocTypeSystem,testOutputDocTypeInternalSubset,testDocumentDocType,testOutputElementMultiAllWhiteExpandEmpty
TestSAXOutputter,testDocTypeSimpleISS,testDocTypeSystemIDISS,testDocTypeSystemID,testDocTypePublicSystemIDISS,testDocTypePublicSystemID
TestStAXEventOutputter,test_HighSurrogatePairDecimal,test_RawSurrogatePair,test_HighSurrogateAttPairDecimal,test_HighSurrogateAttPair
TestStAXStreamOutputter,test_HighSurrogatePairDecimal,test_RawSurrogatePair,test_HighSurrogateAttPairDecimal,test_HighSurrogateAttPair
TestXMLOutputProcessor,testAttributeEscapedEntitiesFilter,testAttributeEscapedEntitiesFilterASCII
TestXMLOutputProcessor,testAttributeEscapedEntitiesFilterErrorMid,testAttributeEscapedEntitiesFilterErrorEnd
TestXMLOutputProcessor,testTextCDATARaw,testTextCDATARawEmpty
TestXMLOutputProcessor,testTextEscapedEntitiesFilter,testTextEscapeRaw
TestXMLOutputProcessor,testTextEscapedEntitiesFilterErrorMid,testTextEscapedEntitiesFilterErrorEnd
TestXMLOutputter,test_HighSurrogatePairDecimal,test_RawSurrogatePairUTF8,test_RawSurrogatePair,test_HighSurrogateAttPairDecimal,test_HighSurrogateAttPair
TestSubclassSerializables,testCDATA,testComment
TestIssue008ExpandEntity,testFalseUSASCII,testValidTrueUTF8,testValidTrueUSASCII,testValidFalseUTF8,testValidFalseUSASCII,testTrueUTF8,testTrueUSASCII,testFalseUTF8
TestIssue008ExpandEntity,testFalse,testValidTrue,testValidFalse,testTrue
TestComment,test_TCC___String,test_TCM__String_toString
TestDocType,test_TCC___String,test_TCM__String_getElementName
TestElement,testCoalesceTextNested,testCoalesceTextNestedRec
TestElement,testCoalesceTextSingle,testCoalesceTextSingleRec
TestElement,test_TCM__boolean_removeAttribute_String_String,test_TCM__String_getSerializedForm
TestElement,testXmlBaseRelativeToDoc,testXmlBaseSubAbsolute,testXmlBaseAbsolute
TestElement,testCoalesceTextSimple,testCoalesceTextSimpleRec
TestElement,testCoalesceTextCDATA,testCoalesceTextCDATARec
TestElement,testCoalesceTextEmpty,testCoalesceTextEmptyRec
TestElement,test_TCM__boolean_hasMixedContent,test_TCM__OrgJdomElement_getCopy_String
TestElement,testSort,testSortAllSameFiltered
TestNamespace,testXMLNamespaceDefault,testXMLNSNamespaceDefault
