TestXMLReaderSingletons,testDTDValidatingReaderFails
TestXMLReaderXSDFactory,testXMLReaderXSDFactoryURLArrayJAXP
TestXMLReaderXSDFactory,testXMLReaderXSDFactoryURLArray
TestDOMBuilder,testSimpleDocument
TestDTDParser,testParseSYSTEMquotNONE
TestDTDParser,testParseSimple
TestDTDParser,testParsePUBLICquotquotNONE
TestDTDParser,testParseSYSTEMquotSimple
TestDTDParser,testParsePUBLICquotenullNONE
TestDTDParser,testParseSimpleCompactInternal
TestDTDParser,testParsePUBLICaposaposSimple
TestJDOMParseExceptn,testJDOMParseExceptionStringThrowableDocument
TestSAXBuilder,testBuildStringNegativeActualXML
TestSAXHandler,testElementAttributesNoLocalName
TestSAXHandler,testElementAttributesNoPrefixNamespaceMustGenerateAlternatePrefix
TestSAXHandler,testElementAttributesTypeIsUnknown
TestSAXHandler,testAndroidParserIssue2LocalOnly
TestStAXEventBuilder,testSimpleDocumentExpand
TestStAXStreamBuilder,testSimpleDocumentExpand
TestStAXStreamBuilder,testDocTypeDocumentExpand
TestJDOMNamespaceContext,testGetNamespaceURIWithDef
AbstractTestOutputter,testMultiWhiteText
AbstractTestOutputter,testCDATAEmpty
AbstractTestRoundTrip,testSimple
TestDOMOutputter,testOutputElementExpandEmpty
TestDOMOutputter,testDOMOutputElementNamespaces
TestFormat,test7BitEscapes
TestFormat,test16BitEscapes
TestSAXOutputter,testOutputElementExpandEmpty
TestSAXOutputter,testDocTypeSimpleISS
TestStAXEventOutputter,test_HighSurrogatePairDecimal
TestStAXStreamOutputter,test_HighSurrogatePairDecimal
TestXMLOutputProcessor,testAttributeEscapedEntitiesFilter
TestXMLOutputProcessor,testAttributeEscapedEntitiesFilterErrorMid
TestXMLOutputProcessor,testTextCDATARaw
TestXMLOutputProcessor,testTextEscapedEntitiesFilter
TestXMLOutputProcessor,testTextEscapedEntitiesFilterErrorMid
TestXMLOutputter,test_HighSurrogatePairDecimal
TestSubclassSerializables,testCDATA
TestIssue008ExpandEntity,testFalseUSASCII
TestIssue008ExpandEntity,testFalse
TestComment,test_TCC___String
TestDocType,test_TCC___String
TestElement,testCoalesceTextNested
TestElement,testCoalesceTextSingle
TestElement,test_TCM__boolean_removeAttribute_String_String
TestElement,testXmlBaseRelativeToDoc
TestElement,testCoalesceTextSimple
TestElement,testCoalesceTextCDATA
TestElement,testCoalesceTextEmpty
TestElement,test_TCM__boolean_hasMixedContent
TestElement,testSort
TestNamespace,testXMLNamespaceDefault
TestNamespace,testXMLNamespacePrefix
TestNamespace,testXMLNamespaceOnlyPrefix
TestNamespaceAware,testNamespacesAttributeDetachNS
TestProcessingInstruction,testIllegalAttnameB
TestProcessingInstruction,testIllegalTargetContentA
TestProcessingInstruction,testIllegalTargetContentF
TestProcessingInstruction,testCloneA
TestJDOMSource,testXMLReaderParse
AbstractTestXPath,testSelectDocumentDoc
AbstractTestXPath,testSelectDocumentMain
AbstractTestXPath,testXPathDescendant
AbstractTestXPath,testXPathFollowingSibling
AbstractTestXPath,testXPathFollowing
AbstractTestXPath,testAncestorsFromChild
AbstractTestXPath,testSelectMainByName
AbstractTestXPath,testXPathAncestor
AbstractTestXPathCompiled,testAncestorsFromChild
AbstractTestXPathCompiled,testSelectMainByName
AbstractTestXPathCompiled,testGetALLNamespaces
AbstractTestXPathCompiled,testXPathDescendant
AbstractTestXPathCompiled,testDuplicatePrefix
AbstractTestXPathCompiled,testXPathFollowing
AbstractTestXPathCompiled,testSelectDocumentDoc
AbstractTestXPathCompiled,testDuplicateVariable
AbstractTestXPathCompiled,testXPathAncestor
AbstractTestXPathCompiled,testSelectDocumentMain
AbstractTestXPathCompiled,testXPathFollowingSibling
TestJavaCompiled,testAncestorOrSelfFromNamespace
TestXalanCompiled,testAncestorOrSelfFromNamespace
